"pF","vol_water_perc","source","treatment","texture","kPa","perc_sat"
4.395,6.11,"data/wrc/vg_wp4c/200729_BC15_scl-drying.xlsx","drying","SCL",2483.13,7.06
4.415,6.02,"data/wrc/vg_wp4c/200729_BC15_scl-drying.xlsx","drying","SCL",2600.16,6.96
4.435,5.92,"data/wrc/vg_wp4c/200729_BC15_scl-drying.xlsx","drying","SCL",2722.7,6.84
4.455,5.82,"data/wrc/vg_wp4c/200729_BC15_scl-drying.xlsx","drying","SCL",2851.02,6.72
4.475,5.73,"data/wrc/vg_wp4c/200729_BC15_scl-drying.xlsx","drying","SCL",2985.38,6.62
4.495,5.64,"data/wrc/vg_wp4c/200729_BC15_scl-drying.xlsx","drying","SCL",3126.08,6.52
4.515,5.55,"data/wrc/vg_wp4c/200729_BC15_scl-drying.xlsx","drying","SCL",3273.41,6.41
4.535,5.46,"data/wrc/vg_wp4c/200729_BC15_scl-drying.xlsx","drying","SCL",3427.68,6.31
4.555,5.37,"data/wrc/vg_wp4c/200729_BC15_scl-drying.xlsx","drying","SCL",3589.22,6.2
4.575,5.29,"data/wrc/vg_wp4c/200729_BC15_scl-drying.xlsx","drying","SCL",3758.37,6.11
4.595,5.2,"data/wrc/vg_wp4c/200729_BC15_scl-drying.xlsx","drying","SCL",3935.5,6.01
4.615,5.12,"data/wrc/vg_wp4c/200729_BC15_scl-drying.xlsx","drying","SCL",4120.98,5.92
4.635,5.04,"data/wrc/vg_wp4c/200729_BC15_scl-drying.xlsx","drying","SCL",4315.19,5.82
4.655,4.96,"data/wrc/vg_wp4c/200729_BC15_scl-drying.xlsx","drying","SCL",4518.56,5.73
4.675,4.88,"data/wrc/vg_wp4c/200729_BC15_scl-drying.xlsx","drying","SCL",4731.51,5.64
4.695,4.8,"data/wrc/vg_wp4c/200729_BC15_scl-drying.xlsx","drying","SCL",4954.5,5.55
4.715,4.72,"data/wrc/vg_wp4c/200729_BC15_scl-drying.xlsx","drying","SCL",5188,5.45
4.735,4.65,"data/wrc/vg_wp4c/200729_BC15_scl-drying.xlsx","drying","SCL",5432.5,5.37
4.756,4.57,"data/wrc/vg_wp4c/200729_BC15_scl-drying.xlsx","drying","SCL",5701.64,5.28
4.776,4.5,"data/wrc/vg_wp4c/200729_BC15_scl-drying.xlsx","drying","SCL",5970.35,5.2
4.796,4.43,"data/wrc/vg_wp4c/200729_BC15_scl-drying.xlsx","drying","SCL",6251.73,5.12
