Core,ppm,Intensity,Width,Area,Flags
74,1.24,0.1,5.58,7.92,None
76,1.36,0.1,4.95,6.71,None
76,1.27,0.1,97.2,83.97,None
76,1.25,0.1,11.47,15.61,None
76,1.24,0.2,6.35,13.77,None
76,1.05,0.3,5.96,23.95,None
76,1.04,0.3,5.54,17.7,None
76,0.86,0.1,29.99,34.81,None
78,1.91,0.1,1.05,0.96,None
80,3.57,0.1,1.28,0.87,None
80,3.54,0.1,131.53,147.99,None
81,1.91,0.1,1.57,1.59,None
82,3.51,1.3,2.18,32.81,None
84,3.5,0.5,2.57,16.8,None
86,3.51,0.4,2.7,14.59,None
87,2.21,0.1,2.51,2.61,None
87,1.91,0.1,1.59,1.38,None
87,1.52,0.1,6.72,4.91,None
91,6.2,0.2,2.37,5.21,None
91,6.19,0.2,2.21,4.7,None
91,5.75,0.1,1.83,1.13,None
91,5.1,0.1,11.49,6.86,None
92,4.91,0.2,5.28,11.57,None
92,4.9,0.3,4.12,13.58,None
92,4.89,0.1,3.97,6.83,None
92,4.88,0.3,3.97,14.68,None
92,4.87,0.3,3.97,15.7,None
92,4.85,0.1,11.61,8.94,None
92,4.82,0.7,4.56,39.94,None
92,4.81,0.7,4.2,34.99,None
92,4.76,0.5,5.34,34.19,None
92,4.74,0.6,5.95,43.5,None
92,4.74,0.2,4.01,9.04,None
92,4.62,0.2,4.85,12.54,None
92,4.6,0.2,3.94,8.77,None
92,4.58,0.2,4.03,12.76,None
92,4.57,0.2,3.79,11.61,None
92,4.48,0.1,4.29,6.4,None
92,4.46,0.2,4.06,11.53,None
92,4.45,0.1,5,7.74,None
92,4.44,0.2,4.06,9.55,None
92,4.42,0.2,3.85,8.7,None
92,4.4,0.1,7.28,7.53,None
92,4.36,0.1,4.65,5.68,None
93,4.89,0.2,2.76,5.89,None
93,4.88,0.2,3.18,10.19,None
93,4.87,0.3,3.27,11.99,None
93,4.84,0.1,127.81,186.12,None
93,4.82,0.6,3.48,28.16,None
93,4.81,0.7,3.5,29.19,None
93,4.76,0.4,4.08,22.89,None
93,4.75,0.2,3.08,7.16,None
93,4.74,0.5,4.28,25.04,None
93,4.73,0.2,3.13,7.49,None
93,4.61,0.2,3.67,10.39,None
93,4.6,0.2,3.36,9.3,None
93,4.58,0.2,3.01,8.57,None
93,4.57,0.2,3.06,8.6,None
93,4.48,0.1,3.62,5.65,None
93,4.46,0.2,3.25,9.3,None
93,4.45,0.1,3.81,6.14,None
93,4.44,0.2,3.29,8.88,None
93,4.42,0.2,3.15,8.69,None
93,4.4,0.1,3.71,5.38,None
93,4.39,0.1,3.28,5.01,None
