m/z,I,S/N,Res.
369.134635,2159042,7.7,467055
369.155757,13584840,53.6,449534
369.178217,1319887,4.3,426571
369.184165,1024208,3.1,582981
369.19218,5180883,19.8,467486
369.207405,1197271,3.8,628960
369.214539,1689562,5.8,443137
369.228517,1621470,5.5,559333
370.049975,2022101,7.1,516665
370.065217,1099738,3.4,521635
370.078299,1043806,3.2,390070
370.086325,3651296,13.7,480832
370.11472,1008873,3.1,503025
370.122767,3887851,14.6,463467
370.130981,1481454,5,505522
370.159124,2395895,8.6,519418
370.162217,1180663,3.8,537333
370.195624,1005442,3.1,454866
370.198621,1199874,3.8,664768
370.869099,3258319,12.1,504235
370.968639,1340398,4.4,305201
371.004751,1262073,4.1,537980
371.017835,1058301,3.3,543383
371.025827,2600447,9.5,469593
371.038947,1085827,3.4,313522
371.041103,4925444,18.8,464071
371.051803,1014023,3.1,686853
371.054202,1352456,4.4,437257
371.062235,13448202,53,444240
371.077487,5783567,22.2,468128
371.088171,1036050,3.2,734908
371.090727,1219603,3.9,561519
371.098654,16927766,67,457101
371.113922,4802586,18.3,469284
371.124537,1731614,6,568906
371.135039,12901409,50.8,469394
371.150057,2576421,9.4,363397
371.150929,4191270,15.9,574235
371.171424,6619180,25.6,441501
371.186718,1456945,4.9,537087
371.193885,2992691,11,490495
371.207842,3105847,11.5,490436
371.230281,9954366,39,441268
371.244222,1039426,3.1,612940
371.868628,1072132,3.3,513296
372.044528,1221434,3.9,601002
372.06561,1613121,5.4,524194
372.080902,1047366,3.2,404126
372.10202,2806092,10.1,484560
372.131146,1110101,3.4,620013
372.138349,2422616,8.6,474053
372.16744,2623329,9.4,511063
372.174717,1372515,4.4,499290
372.177929,1119844,3.5,410949
372.188967,1574759,5.2,556137
372.214272,7331183,27.9,459377
372.233566,1461621,4.8,599974
372.864646,1007675,3,525727
373.020337,3908204,14.4,466117
373.041507,2853491,10.3,436428
373.054169,1154679,3.6,506925
373.056787,7818872,29.9,471199
373.077931,8871550,34,455007
373.093168,8064643,30.8,435036
373.106286,1288327,4.1,562092
373.114267,8179338,31.3,466126
373.129513,6678159,25.4,464476
373.142639,1165971,3.6,483303
373.147832,3015829,10.9,442265
373.150668,5095062,19.1,459008
373.165945,4362906,16.2,441469
373.173142,1546909,5.1,505823
373.187096,3320481,12.1,478427
373.202412,1499302,4.9,565300
373.209565,4410024,16.4,480565
373.217597,1592747,5.3,505269
373.223435,1466284,4.8,469931
374.060079,1444279,4.7,537878
374.081279,1427389,4.7,579572
374.08841,1018560,3,539608
374.096519,1596354,5.3,545415
374.117566,1653193,5.6,380324
374.132835,1670350,5.6,442182
374.146719,2239442,7.9,554785
374.164584,1087832,3.3,462747
374.169278,1061850,3.2,562303
374.208976,1240550,3.9,525489
374.910297,2145480,7.5,476641
375.036045,7788785,29.8,442702
375.049104,1124853,3.5,635177
375.057219,1965816,6.8,441608
375.071101,2110716,7.4,606238
375.072454,11794685,45.6,429930
375.085616,1269505,4,375082
375.09353,3318020,12.1,447256
375.108822,11741448,45.3,443063
375.121988,1522189,5,447711
375.129898,2414351,8.6,414524
375.145172,10774804,41.5,440605
375.158168,1425177,4.7,507116
375.1662,1978139,6.8,469028
375.180629,1496352,4.9,574588
375.181601,5241120,19.7,486110
375.188801,2259235,7.9,458861
375.202642,1314343,4.2,505376
375.217881,1131052,3.5,452353
376.03933,1451064,4.8,535787
376.060495,1007679,3,557031
376.067731,1440066,4.7,418465
376.07579,2083396,7.2,542726
376.10419,1065934,3.2,477029
376.112177,2430032,8.6,431926
376.148499,2211932,7.8,469629
376.184884,1075816,3.3,454674
376.191536,1404778,4.6,430633
376.216621,2923635,10.6,468745
376.22444,3207797,11.7,444372
376.252795,1488510,4.9,542761
376.816119,1030457,3.1,543205
377.01534,3394427,12.4,429046
377.04951,2159750,7.5,335068
377.051657,12893063,49.9,433269
377.072939,1032590,3.1,552303
377.088093,16245651,63.1,441050
377.099405,1328535,4.3,422045
377.101283,1436055,4.7,562204
377.124458,17060768,66.3,438968
377.137548,1142180,3.5,476684
377.160806,12798891,49.5,430381
377.183282,1289651,4.1,558358
377.19725,4609976,17.2,448119
378.055026,2171351,7.6,389660
378.083327,1314529,4.2,553615
378.091389,3530979,13,461163
378.127806,3712240,13.7,482210
378.164218,2873596,10.4,441087
378.167591,1036541,3.1,242009
378.203706,3673353,13.5,420160
378.701521,1009586,3,343736
379.030949,7734818,29.5,458616
379.046218,1421607,4.6,453181
379.06737,17462830,67.9,433631
379.069757,1372207,4.4,723875
379.082592,1167668,3.6,227601
379.103702,21284410,83,440613
