m/z,I,S/N,Res.
391.140223,6239785,26.2,492302
391.176585,4204589,17.3,596948
391.213005,1196464,4.2,472021
392.07081,1388166,5,702995
392.107139,1360266,4.9,475571
392.143614,1601038,5.9,543141
393.046709,5264105,21.9,541360
393.083055,8209133,34.8,524450
393.117903,2091760,8.1,668595
393.119406,9168624,39,469976
393.155848,7622388,32.2,516342
393.192213,3555064,14.5,508001
394.086396,1589587,5.9,542937
394.122797,2109782,8.2,375128
394.159129,1652442,6.2,492588
395.025947,2492083,9.8,565131
395.062304,8131511,34.2,471167
395.077685,1062328,3.6,587707
395.098726,10309562,43.7,501615
395.135155,10888126,46.2,511422
395.171447,6713282,28.1,479921
395.207881,1747141,6.5,469453
395.80838,933635,3,512563
396.065696,1697310,6.3,614974
396.083791,945951,3.1,682461
396.102065,2267937,8.8,492900
396.138459,2399013,9.4,550157
396.17498,1399337,5,650348
397.02057,1087104,3.7,729777
397.041603,4994179,20.6,555921
397.05684,1795716,6.8,444942
397.077994,9419910,39.8,507296
397.093371,1047816,3.5,724398
397.112991,2127498,8.2,438260
397.114395,11066506,47,494867
397.14274,1055757,3.5,701130
397.150731,8262798,34.8,513983
397.187146,3834514,15.6,507132
397.223599,1190293,4.1,510181
398.044878,1221355,4.3,665148
398.081281,1812207,6.8,537097
398.117751,2006259,7.7,563815
398.154158,1834998,6.9,574346
398.190535,1017338,3.4,619325
398.900373,7586117,31.9,501222
399.020844,1282641,4.5,476119
399.035998,1933779,7.4,481602
399.057209,5678933,23.6,476315
399.072461,2533463,10,523024
399.093665,9061721,38.3,487821
399.108888,2325083,9.1,559308
399.130046,7166813,30.1,432299
399.145262,1280094,4.5,585012
399.166407,4156257,17,492423
399.181799,1312610,4.7,691086
399.202792,1493220,5.4,531724
399.899885,1879726,7.1,492515
400.060668,1380543,5,692287
400.096932,1708483,6.4,560588
400.133408,1675975,6.2,565175
400.169687,1213386,4.2,655811
400.897255,1198872,4.2,687435
401.015445,989988,3.3,788117
401.018968,993189,3.3,389722
401.036512,1737254,6.5,508922
401.05176,3195432,12.8,522239
401.072833,5225515,21.6,524006
401.086489,1123372,3.8,529622
401.088143,3469868,14,483977
401.109282,5288494,21.9,498667
401.1246,2559280,10.1,514796
401.137549,1058865,3.6,467876
401.145644,3593778,14.6,536501
401.160959,2234676,8.7,477937
401.18209,1663542,6.2,468128
401.197284,1268024,4.5,714345
401.218367,1162170,4,471618
402.268723,1530538,5.6,595768
402.939765,1085938,3.7,909248
402.941619,3103987,12.4,542939
403.031051,2899708,11.5,509646
403.052267,1106431,3.7,660759
403.067391,4747008,19.4,488278
403.088593,2376707,9.2,503964
403.103878,4137732,16.8,404605
403.124995,1994502,7.6,525044
403.140225,4784904,19.6,538239
403.161353,1107210,3.7,731566
403.176549,3416332,13.7,499492
403.212942,1051536,3.5,345390
404.070816,1294829,4.6,551339
404.107086,1045745,3.5,510908
404.143471,1346421,4.8,629635
404.17982,1139193,3.9,659196
404.93864,1168331,4,689219
405.010341,1026003,3.4,484615
405.046713,5814231,24,489990
405.08308,6764507,28.1,472013
405.096164,998365,3.3,716896
405.104025,988638,3.2,476713
405.109768,947678,3.1,754015
405.118094,1852639,7,629273
405.119474,6511071,27,441823
405.155824,6183907,25.6,457602
405.192244,3660775,14.8,478517
406.050157,1621317,6,577609
406.086438,1610313,5.9,571298
406.122979,1689933,6.3,533826
406.159256,1623121,6,577323
407.026004,2229937,8.6,388772
407.062338,7488693,31.3,463599
407.098734,8998073,37.8,484155
407.135115,8735933,36.6,463884
407.171502,6401218,26.6,462581
407.207942,2740678,10.8,469441
407.835708,958603,3.1,521820
408.065568,1178661,4,438566
408.094117,951080,3.1,599682
